codigo_departamento,departamento,codigo_municipio,municipio,codigo_establecimiento,codigo_interno,codigo_distrito,establecimiento,tipo_establecimiento,direccion,telefono,supervisor,director,nivel,sector,area,status,modalidad,jornada,plan,departamental
00,CIUDAD CAPITAL,01,ZONA 1,9381,46,403,INSTITUTO MIXTO MIGUEL DE CERVANTES,INSTITUTO,10A. CALLE 1-47,24593860,CARLOS HUMBERTO GONZALEZ DE LEON,AURA RAQUEL DE LEON HERNANDEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00,CIUDAD CAPITAL,01,ZONA 1,0243,46,318,CENTRO EDUCACIONAL MIXTO PRIVADO KINGSTON,CENTRO,8A CALLE 12-46,22320683,LESLIE AZUCENA MONZON TECUN,PATRICIA LORENA LIDIA GIDI DAVID,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00,CIUDAD CAPITAL,01,ZONA 1,0240,46,312,INSTITUTO DE EDUCACION DIVERSIFICADA RAFAEL LANDIVAR,INSTITUTO,8A CALLE 2-46,22500132,AMADO SALOMON FLORES PEREZ,DORA BEATRIZ CASTILLO DE LA CRUZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00,CIUDAD CAPITAL,01,ZONA 1,0238,46,110,INSTITUTO TECNOLOGICO DE COMPUTACION I.T.C.,INSTITUTO,2A CALLE 11-65,22200060,ZUHILEM YESENIA ESTRADA ORTIZ,DULCE MARIA CHINCHILLA GODOY,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00,CIUDAD CAPITAL,01,ZONA 1,0226,46,317,COLEGIO BELGA GUATEMALTECO,COLEGIO,9A CALLE 10-38,23148300,MARIANO DOMINGO ESTRADA TELETOR,MARIA TERESA RIVERA CASTILLO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00,CIUDAD CAPITAL,01,ZONA 1,0225,46,318,COLEGIO COMERCIAL GUATEMALTECO,COLEGIO,10A CALLE 11-44,22534824,LESLIE AZUCENA MONZON TECUN,CHARLOTTE ANN AFRE PYATT,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00,CIUDAD CAPITAL,01,ZONA 1,0224,46,312,INSTITUTO DE EDUCACION DIVERSIFICADA COLEGIO EUROPEO,INSTITUTO,11 CALLE 3-38,22325512,AMADO SALOMON FLORES PEREZ,---,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00,CIUDAD CAPITAL,01,ZONA 1,0223,46,312,COLEGIO EL ROSARIO,COLEGIO,15 CALLE A 2-74,22320361,AMADO SALOMON FLORES PEREZ,TERESITA BEATRIZ HARANZEN QUINTEROS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00,CIUDAD CAPITAL,01,ZONA 1,0247,46,317,INSTITUTO PARTICULAR MIXTO JOSE MARTI,INSTITUTO,8A CALLE 12-41,22539053,MARIANO DOMINGO ESTRADA TELETOR,REGINA CORALIA GARCIA CONTRERAS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00,CIUDAD CAPITAL,01,ZONA 1,0222,46,317,COLEGIO SANTA MONICA,COLEGIO,10A CALLE 11-41,22329121,MARIANO DOMINGO ESTRADA TELETOR,MARTHA MIRIELA LEMUS AROCHE,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00,CIUDAD CAPITAL,01,ZONA 1,0218,46,403,LICEO TECNOLOGICO GUATEMALA DE LA ASUNCION,LICEO,3A. CALLE 7-64,54452951,CARLOS HUMBERTO GONZALEZ DE LEON,ELUBIA ANAYTE SIGUENZA MONTERROSO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00,CIUDAD CAPITAL,01,ZONA 1,0212,46,307,COLEGIO SALESIANO DON BOSCO,COLEGIO,26 CALLE 2-46 GUATEMALA,22465117,NORMA ARACELY PALOMO FRANCO DE DIAZ,MANUEL VICENTE GUERRA DUARTE,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00,CIUDAD CAPITAL,01,ZONA 1,0210,46,318,COLEGIO CATOLICO SAN PABLO,COLEGIO,14 CALLE A 2-41,22305024,LESLIE AZUCENA MONZON TECUN,EDGAR VINICIO PALENCIA PACHECO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
